FID,ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
0,44,RHODE ISLAND,RI,44003,Kent,44003980000,"Census Tract 9800, Kent County, Rhode Island",1.4564119,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,-999.0,-999.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,17.0,0.0,17.0,0.0,48.0,0.0,17.0,0.0,12.0,0.0,17.0,0.0,12.0,0.0,12.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,12.0,-999.0,-999.0,1780.0
1,44,RHODE ISLAND,RI,44005,Newport,44005990000,"Census Tract 9900, Newport County, Rhode Island",0.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,-999.0,-999.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,17.0,0.0,17.0,0.0,48.0,0.0,17.0,0.0,12.0,0.0,17.0,0.0,12.0,0.0,12.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,12.0,-999.0,-999.0,0.0
2,44,RHODE ISLAND,RI,44009,Washington,44009990100,"Census Tract 9901, Washington County, Rhode Island",0.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,-999.0,-999.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,12.0,0.0,17.0,0.0,17.0,0.0,48.0,0.0,17.0,0.0,12.0,0.0,17.0,0.0,12.0,0.0,12.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,12.0,-999.0,-999.0,0.0
3,44,RHODE ISLAND,RI,44001,Bristol,44001030100,"Census Tract 301, Bristol County, Rhode Island",1.6884468,4642.0,202.0,1990.0,83.0,1889.0,108.0,143.0,83.0,52.0,29.0,49331.0,5263.0,186.0,82.0,886.0,124.0,1207.0,104.0,501.0,111.0,120.0,55.5,444.0,306.1,33.0,58.6,153.0,64.1,0.0,12.0,0.0,17.0,162.0,66.0,5.0,7.0,3.1,1.8,2.2,1.2,49331.0,5263.0,5.7,2.5,19.1,2.5,26.0,1.9,10.8,2.4,6.4,2.9,9.6,6.6,0.8,1.3,7.7,3.2,0.0,1.7,0.0,0.9,8.6,3.4,0.1,0.2,0.0753,0.0377,0.0628,0.2008,0.3766,0.0293,0.7071,0.841,0.2385,0.4226,2.2092,0.636,0.3682,0.3556,0.7238,0.3766,0.4728,0.0,0.0,0.5397,0.205,1.2176,0.1172,4.5272,0.1088,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.0,91.0,2.9,2.0,2650.0
4,44,RHODE ISLAND,RI,44001,Bristol,44001030200,"Census Tract 302, Bristol County, Rhode Island",1.7618931,3023.0,204.0,1335.0,65.0,1216.0,92.0,91.0,62.0,91.0,47.0,42992.0,4277.0,139.0,68.0,561.0,103.0,642.0,118.0,329.0,130.0,54.0,43.0,261.0,285.7,72.0,100.2,0.0,17.0,0.0,12.0,0.0,17.0,28.0,25.0,0.0,12.0,3.0,2.0,5.0,2.6,42992.0,4277.0,6.3,3.0,18.6,3.3,21.2,3.6,10.9,4.1,4.4,3.5,8.6,9.4,2.5,3.4,0.0,1.3,0.0,2.6,0.0,1.4,2.3,2.0,0.0,0.4,0.0628,0.2552,0.1841,0.2385,0.7406,0.0921,0.6695,0.6611,0.2552,0.2343,1.8201,0.3389,0.3222,0.5983,0.9205,0.4979,0.0,0.0,0.0,0.1339,0.0,0.1339,0.0,3.6151,0.0251,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118.0,76.0,3.9,2.5,4577.0
5,44,RHODE ISLAND,RI,44001,Bristol,44001030300,"Census Tract 303, Bristol County, Rhode Island",2.3458171,4516.0,178.0,1769.0,75.0,1703.0,80.0,113.0,73.0,60.0,45.0,52186.0,4547.0,88.0,64.0,783.0,70.0,1244.0,115.0,424.0,94.0,30.0,31.4,348.0,279.1,20.0,49.7,0.0,17.0,0.0,12.0,0.0,17.0,0.0,12.0,11.0,12.0,2.5,1.6,2.7,2.0,52186.0,4547.0,2.8,2.0,17.3,1.5,27.5,2.3,9.4,2.0,1.8,1.8,7.7,6.2,0.5,1.2,0.0,1.0,0.0,2.0,0.0,1.0,0.0,2.0,0.2,0.3,0.046,0.0628,0.0502,0.0418,0.2008,0.0042,0.5732,0.887,0.1339,0.0335,1.6276,0.2259,0.2762,0.2469,0.523,0.2385,0.0,0.0,0.0,0.0,0.3515,0.3515,0.0084,2.7029,0.0084,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.0,47.0,1.6,1.1,2104.0
6,44,RHODE ISLAND,RI,44001,Bristol,44001030400,"Census Tract 304, Bristol County, Rhode Island",2.4213437,4123.0,189.0,1472.0,54.0,1386.0,72.0,28.0,20.0,81.0,43.0,90921.0,13208.0,75.0,51.0,637.0,99.0,1279.0,143.0,342.0,98.0,22.0,26.8,300.0,298.5,0.0,48.0,0.0,17.0,0.0,12.0,0.0,17.0,26.0,24.0,18.0,9.0,0.7,0.5,4.1,2.2,90921.0,13208.0,2.8,1.9,15.4,2.4,31.0,3.2,8.3,2.4,1.6,1.9,7.3,7.2,0.0,1.2,0.0,1.2,0.0,2.3,0.0,1.2,1.9,1.7,0.4,0.2,0.0,0.1423,0.0,0.0418,0.1841,0.0,0.4477,0.954,0.0962,0.0293,1.5272,0.1841,0.2427,0.0,0.2427,0.0921,0.0,0.0,0.0,0.0962,0.4854,0.5816,0.0209,2.5356,0.0042,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,34.0,39.0,0.8,0.9,2244.0
7,44,RHODE ISLAND,RI,44001,Bristol,44001030500,"Census Tract 305, Bristol County, Rhode Island",0.5813001,3136.0,205.0,1725.0,76.0,1547.0,88.0,425.0,191.0,166.0,90.0,25741.0,3461.0,310.0,110.0,403.0,87.0,627.0,145.0,601.0,127.0,268.0,97.5,205.0,309.6,9.0,48.5,137.0,52.8,0.0,12.0,9.0,18.4,242.0,80.0,17.0,24.0,13.6,6.2,8.3,4.4,25741.0,3461.0,13.3,4.6,12.9,2.7,20.0,4.4,19.3,3.9,17.3,6.2,6.5,9.9,0.3,1.6,7.9,3.0,0.0,2.0,0.6,1.2,15.6,5.2,0.5,0.8,0.5983,0.6192,0.6904,0.6485,2.5565,0.6946,0.3054,0.5397,0.9414,0.8243,2.6109,0.8661,0.1799,0.1967,0.3766,0.1799,0.4895,0.0,0.3808,0.7782,0.523,2.1715,0.5105,7.7155,0.6485,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,398.0,151.0,12.7,4.9,2386.0
8,44,RHODE ISLAND,RI,44001,Bristol,44001030601,"Census Tract 306.01, Bristol County, Rhode Island",4.2802121,3483.0,211.0,1479.0,68.0,1396.0,79.0,304.0,213.0,85.0,55.0,38087.0,4938.0,229.0,96.0,693.0,116.0,764.0,168.0,323.0,97.0,156.0,95.0,111.0,311.4,24.0,47.9,77.0,50.0,7.0,11.0,0.0,17.0,8.0,12.0,72.0,87.0,9.1,6.1,4.4,2.8,38087.0,4938.0,8.9,3.6,19.9,3.5,21.9,4.6,9.5,3.0,11.2,6.8,3.2,8.9,0.7,1.5,5.2,3.4,0.5,0.8,0.0,1.2,0.6,0.9,2.1,2.5,0.4393,0.1757,0.2845,0.4184,1.318,0.3264,0.749,0.7113,0.1381,0.7071,2.3054,0.6987,0.0335,0.3515,0.3849,0.1841,0.3724,0.749,0.0,0.0293,0.7029,1.8536,0.3473,5.8619,0.318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,210.0,104.0,6.2,3.0,3362.0
9,44,RHODE ISLAND,RI,44001,Bristol,44001030602,"Census Tract 306.02, Bristol County, Rhode Island",1.2687231,3929.0,217.0,1887.0,83.0,1800.0,95.0,443.0,247.0,144.0,82.0,35013.0,3576.0,292.0,104.0,1029.0,153.0,512.0,114.0,650.0,145.0,130.0,81.9,84.0,304.8,84.0,75.7,309.0,88.4,0.0,12.0,20.0,35.1,163.0,75.0,134.0,113.0,11.6,6.3,6.9,4.0,35013.0,3576.0,9.7,3.4,26.2,3.7,13.0,2.8,17.0,3.5,7.2,4.5,2.1,7.8,2.2,2.0,16.4,4.6,0.0,1.8,1.1,1.9,9.1,4.1,3.4,2.9,0.5523,0.4812,0.364,0.4895,1.887,0.5021,0.9456,0.1004,0.8243,0.4854,2.3556,0.7322,0.0126,0.5816,0.5941,0.2887,0.7406,0.0,0.5397,0.5774,0.8117,2.6695,0.7364,7.5063,0.6234,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,239.0,129.0,6.2,3.5,2125.0
