ST,STATE,ST_ABBR,STCNTY,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,M_TOTPOP,E_HU,M_HU,E_HH,M_HH,E_POV,M_POV,E_UNEMP,M_UNEMP,E_PCI,M_PCI,E_NOHSDP,M_NOHSDP,E_AGE65,M_AGE65,E_AGE17,M_AGE17,E_DISABL,M_DISABL,E_SNGPNT,M_SNGPNT,E_MINRTY,M_MINRTY,E_LIMENG,M_LIMENG,E_MUNIT,M_MUNIT,E_MOBILE,M_MOBILE,E_CROWD,M_CROWD,E_NOVEH,M_NOVEH,E_GROUPQ,M_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,F_POV,F_UNEMP,F_PCI,F_NOHSDP,F_THEME1,F_AGE65,F_AGE17,F_DISABL,F_SNGPNT,F_THEME2,F_MINRTY,F_LIMENG,F_THEME3,F_MUNIT,F_MOBILE,F_CROWD,F_NOVEH,F_GROUPQ,F_THEME4,F_TOTAL,E_UNINSUR,M_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP
44,RHODE ISLAND,RI,44003,Kent,44003980000,"Census Tract 9800, Kent County, Rhode Island",1.456421917934,0,13,0,13,0,13,0,13,0,13,-999,-999,0,13,0,13,0,13,0,13,0,18,0,18,0,52,0,18,0,13,0,18,0,13,0,13,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,13,-999.0,-999.0,1607
44,RHODE ISLAND,RI,44005,Newport,44005990000,"Census Tract 9900, Newport County, Rhode Island",0.0,0,13,0,13,0,13,0,13,0,13,-999,-999,0,13,0,13,0,13,0,13,0,18,0,18,0,52,0,18,0,13,0,18,0,13,0,13,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,13,-999.0,-999.0,0
44,RHODE ISLAND,RI,44009,Washington,44009990100,"Census Tract 9901, Washington County, Rhode Island",0.0,0,13,0,13,0,13,0,13,0,13,-999,-999,0,13,0,13,0,13,0,13,0,18,0,18,0,52,0,18,0,13,0,18,0,13,0,13,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,0.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999.0,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,-999,0,13,-999.0,-999.0,0
44,RHODE ISLAND,RI,44009,Washington,44009051502,"Census Tract 515.02, Washington County, Rhode Island",4.900620098406,7392,630,3747,177,2801,236,726,759,164,79,47306,7322,65,44,1246,179,1185,171,596,170,135,89,324,914,0,72,81,87,0,18,0,25,45,43,0,18,9.8,9.7,4.4,2.2,47306.0,7322.0,1.3,0.9,16.9,2.8,16.0,1.9,8.1,2.4,4.8,3.2,4.4,12.4,0.0,1.0,2.2,2.3,0.0,1.0,0.0,0.9,1.6,1.5,0.0,0.2,0.4979,0.3347,0.1506,0.0126,0.9958,0.1674,0.5272,0.2259,0.0711,0.2803,1.1045,0.0544,0.046,0.0,0.046,0.0251,0.2469,0.0,0.0,0.1004,0.0,0.3473,0.0126,2.4936,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,61,1.0,0.8,3073
44,RHODE ISLAND,RI,44001,Bristol,44001030300,"Census Tract 303, Bristol County, Rhode Island",2.34611212331,4546,188,1731,68,1654,77,97,60,87,64,57686,6263,40,33,730,92,1309,122,360,93,66,42,392,302,27,52,0,18,0,13,0,18,8,13,12,11,2.1,1.3,3.8,2.7,57686.0,6263.0,1.3,1.1,16.1,1.9,28.8,2.4,8.0,2.0,4.0,2.5,8.6,6.6,0.6,1.2,0.0,1.1,0.0,2.1,0.0,1.1,0.5,0.8,0.3,0.2,0.0293,0.2636,0.046,0.0126,0.3515,0.0167,0.4644,0.9372,0.0628,0.2218,1.6862,0.2845,0.251,0.2678,0.5188,0.2594,0.0,0.0,0.0,0.0293,0.3682,0.3975,0.0167,2.954,0.0042,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,33,31,0.7,0.7,2083
44,RHODE ISLAND,RI,44003,Kent,44003021600,"Census Tract 216, Kent County, Rhode Island",1.43849442987,1524,93,663,19,598,41,51,42,33,25,71275,13997,51,50,418,80,245,59,140,43,17,15,136,144,0,52,0,18,0,13,2,14,0,13,7,10,3.4,2.8,3.9,2.9,71275.0,13997.0,4.1,4.0,27.4,5.1,16.1,3.7,9.2,2.7,2.8,2.5,8.9,9.4,0.0,3.5,0.0,2.8,0.0,5.5,0.3,2.4,0.0,6.1,0.5,0.7,0.0962,0.2803,0.0084,0.1046,0.4895,0.0335,0.9289,0.2385,0.1046,0.1255,1.3975,0.1381,0.2636,0.0,0.2636,0.1213,0.0,0.0,0.3138,0.0,0.5021,0.8159,0.0502,2.9665,0.0084,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,20,18,1.3,1.1,746
44,RHODE ISLAND,RI,44009,Washington,44009050402,"Census Tract 504.02, Washington County, Rhode Island",7.34861372866,2600,223,1382,48,1182,91,113,58,50,40,59548,9713,22,22,551,86,405,100,263,72,54,43,58,311,0,52,83,52,0,13,0,18,33,28,18,11,4.3,2.3,3.3,2.7,59548.0,9713.0,1.1,1.2,21.2,3.3,15.6,3.6,10.2,2.6,4.6,3.6,2.2,12.0,0.0,2.0,6.0,3.8,0.0,2.7,0.0,1.6,2.8,2.3,0.7,0.4,0.1674,0.2008,0.0377,0.0084,0.4143,0.0251,0.7741,0.2092,0.159,0.251,1.3933,0.1255,0.0084,0.0,0.0084,0.0084,0.41,0.0,0.0,0.2134,0.5523,1.1757,0.1297,2.9917,0.0126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,69,3.5,2.6,1601
44,RHODE ISLAND,RI,44001,Bristol,44001030200,"Census Tract 302, Bristol County, Rhode Island",1.755066409506,3086,162,1284,73,1207,83,137,78,40,30,49533,5609,117,60,528,75,641,99,321,117,45,36,304,247,55,78,0,18,0,13,0,18,10,15,0,13,4.4,2.5,2.2,1.6,49533.0,5609.0,5.2,2.6,17.1,2.4,20.8,3.0,10.4,3.7,3.7,3.0,9.9,8.0,1.9,2.7,0.0,1.4,0.0,2.9,0.0,1.5,0.8,1.2,0.0,0.4,0.1757,0.0586,0.113,0.1757,0.523,0.0377,0.5356,0.6569,0.1757,0.2008,1.569,0.1883,0.3264,0.5272,0.8536,0.4435,0.0,0.0,0.0,0.0502,0.0,0.0502,0.0,2.9958,0.0167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,78,2.8,2.5,4482
44,RHODE ISLAND,RI,44001,Bristol,44001030400,"Census Tract 304, Bristol County, Rhode Island",2.421344870214,4167,189,1443,54,1408,64,109,103,58,38,86244,10343,52,42,642,88,1271,126,349,118,28,27,301,296,10,50,0,18,0,13,11,21,27,26,19,13,2.6,2.4,2.9,2.0,86244.0,10343.0,1.9,1.5,15.4,2.1,30.5,2.7,8.4,2.8,2.0,2.0,7.2,7.1,0.3,1.3,0.0,1.3,0.0,2.6,0.8,1.5,1.9,1.9,0.5,0.3,0.0502,0.1297,0.0042,0.0293,0.2134,0.0042,0.41,0.954,0.0837,0.0502,1.4979,0.1632,0.1799,0.1925,0.3724,0.1715,0.0,0.0,0.4435,0.1255,0.5021,1.0711,0.0921,3.1548,0.0209,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,9,13,0.2,0.3,1999
44,RHODE ISLAND,RI,44009,Washington,44009051302,"Census Tract 513.02, Washington County, Rhode Island",10.007511329292,3877,331,3737,102,1627,130,106,57,185,65,51261,7015,51,33,1044,145,572,118,411,112,16,21,117,467,0,52,8,19,232,131,0,18,16,18,0,13,2.7,1.5,9.4,3.4,51261.0,7015.0,1.7,1.1,26.9,3.1,14.8,2.8,10.7,2.6,1.0,1.3,3.0,12.1,0.0,1.4,0.2,0.5,6.2,3.5,0.0,1.1,1.0,1.1,0.0,0.3,0.0544,0.841,0.0795,0.0209,0.9958,0.1674,0.9247,0.1799,0.205,0.0167,1.3263,0.0962,0.0251,0.0,0.0251,0.0167,0.1297,0.9498,0.0,0.0586,0.0,1.1381,0.1172,3.4853,0.0251,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,2,129,77,3.3,1.9,1567
